RAW_SIMULATION_TIME: 507.091724
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 3.043502
cycle_0; dim_2; Post_proc; 0.005349
cycle_0; dim_2; EX_run; 29.263098
cycle_0; dim_2; MD_prep; 2.845258
cycle_0; dim_2; MD_run; 34.189915
cycle_0; dim_1; EX_prep; 2.588155
cycle_0; dim_1; Post_proc; 0.007511
cycle_0; dim_1; EX_run; 21.351513
cycle_0; dim_1; MD_prep; 2.206983
cycle_0; dim_1; MD_run; 43.646337
cycle_1; dim_2; EX_prep; 3.325987
cycle_1; dim_2; Post_proc; 0.004736
cycle_1; dim_2; EX_run; 38.761412
cycle_1; dim_2; MD_prep; 2.419168
cycle_1; dim_2; MD_run; 35.183645
cycle_1; dim_1; EX_prep; 3.006425
cycle_1; dim_1; Post_proc; 0.005737
cycle_1; dim_1; EX_run; 23.463236
cycle_1; dim_1; MD_prep; 2.831252
cycle_1; dim_1; MD_run; 35.289535
cycle_2; dim_2; EX_prep; 4.436222
cycle_2; dim_2; Post_proc; 0.007059
cycle_2; dim_2; EX_run; 34.063721
cycle_2; dim_2; MD_prep; 4.157499
cycle_2; dim_2; MD_run; 36.637827
cycle_2; dim_1; EX_prep; 2.823157
cycle_2; dim_1; Post_proc; 0.00414
cycle_2; dim_1; EX_run; 23.574
cycle_2; dim_1; MD_prep; 4.270796
cycle_2; dim_1; MD_run; 33.825905
cycle_3; dim_2; MD_prep; 4.402631
cycle_3; dim_2; MD_run; 36.876022
cycle_3; dim_1; MD_prep; 4.436644
cycle_3; dim_1; MD_run; 34.008266
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
