RAW_SIMULATION_TIME: 235.877453
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 0.631267
cycle_0; dim_2; Post_proc; 0.001101
cycle_0; dim_2; EX_run; 9.479364
cycle_0; dim_2; MD_prep; 0.761819
cycle_0; dim_2; MD_run; 18.906473
cycle_0; dim_1; EX_prep; 0.533404
cycle_0; dim_1; Post_proc; 0.000845
cycle_0; dim_1; EX_run; 8.607679
cycle_0; dim_1; MD_prep; 1.1198
cycle_0; dim_1; MD_run; 22.615627
cycle_1; dim_2; EX_prep; 0.867246
cycle_1; dim_2; Post_proc; 0.000745
cycle_1; dim_2; EX_run; 9.333388
cycle_1; dim_2; MD_prep; 0.903331
cycle_1; dim_2; MD_run; 19.285496
cycle_1; dim_1; EX_prep; 0.569198
cycle_1; dim_1; Post_proc; 0.000576
cycle_1; dim_1; EX_run; 9.138998
cycle_1; dim_1; MD_prep; 0.956543
cycle_1; dim_1; MD_run; 21.044535
cycle_2; dim_2; EX_prep; 0.802046
cycle_2; dim_2; Post_proc; 0.000828
cycle_2; dim_2; EX_run; 15.50646
cycle_2; dim_2; MD_prep; 0.794806
cycle_2; dim_2; MD_run; 20.254376
cycle_2; dim_1; EX_prep; 0.619053
cycle_2; dim_1; Post_proc; 0.00081
cycle_2; dim_1; EX_run; 8.938503
cycle_2; dim_1; MD_prep; 0.831006
cycle_2; dim_1; MD_run; 22.445334
cycle_3; dim_2; MD_prep; 0.86233
cycle_3; dim_2; MD_run; 19.641878
cycle_3; dim_1; MD_prep; 0.832661
cycle_3; dim_1; MD_run; 19.582982
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
