# 2d example: 32/64

RAW_SIMULATION_TIME: 1938.604717
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 32.547039
cycle_4; dim_2; MD_run; 33.410396
cycle_4; dim_1; MD_prep; 37.1584
cycle_4; dim_1; MD_run; 39.784138
cycle_1; dim_2; EX_prep; 19.0251
cycle_1; dim_2; Post_proc; 1.577651
cycle_1; dim_2; EX_run; 420.868878
cycle_1; dim_2; MD_prep; 23.192376
cycle_1; dim_2; MD_run; 24.313042
cycle_1; dim_1; EX_prep; 16.934474
cycle_1; dim_1; Post_proc; 3.053557
cycle_1; dim_1; EX_run; 3.37588
cycle_1; dim_1; MD_prep; 21.433547
cycle_1; dim_1; MD_run; 58.135511
cycle_2; dim_2; EX_prep; 23.10628
cycle_2; dim_2; Post_proc; 2.809652
cycle_2; dim_2; EX_run; 415.20498
cycle_2; dim_2; MD_prep; 26.57575
cycle_2; dim_2; MD_run; 27.518775
cycle_2; dim_1; EX_prep; 21.182478
cycle_2; dim_1; Post_proc; 3.20107
cycle_2; dim_1; EX_run; 3.979767
cycle_2; dim_1; MD_prep; 25.778443
cycle_2; dim_1; MD_run; 34.139204
cycle_3; dim_2; EX_prep; 29.386041
cycle_3; dim_2; Post_proc; 2.899366
cycle_3; dim_2; EX_run; 409.779953
cycle_3; dim_2; MD_prep; 47.314168
cycle_3; dim_2; MD_run; 13.159431
cycle_3; dim_1; EX_prep; 34.982116
cycle_3; dim_1; Post_proc; 6.131965
cycle_3; dim_1; EX_run; 3.775661
cycle_3; dim_1; MD_prep; 43.69698
cycle_3; dim_1; MD_run; 28.424662
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
5525ec3723769c208311ddfa; 1876.863758; 1886.186758; 1889.212758; 1889.520758; cycle_4; dim_2; run_MD
5525ec4923769c208311de1d; 1894.654758; 1923.126758; 1926.110758; 1926.424758; cycle_4; dim_2; run_MD
5525ec4023769c208311de0a; 1885.028758; 1908.724758; 1912.174758; 1912.565758; cycle_4; dim_2; run_MD
5525ec4223769c208311de0f; 1887.493758; 1915.221758; 1918.134758; 1918.447758; cycle_4; dim_2; run_MD
5525ec4023769c208311de0c; 1885.863758; 1911.319758; 1914.402758; 1914.771758; cycle_4; dim_2; run_MD
5525ec4023769c208311de0b; 1885.452758; 1909.561758; 1912.709758; 1912.995758; cycle_4; dim_2; run_MD
5525ec5123769c208311de2c; 1902.532758; 1930.941758; 1933.906758; 1934.212758; cycle_4; dim_2; run_MD
5525ec5123769c208311de2b; 1902.159758; 1930.372758; 1933.463758; 1933.915758; cycle_4; dim_2; run_MD
5525ec4f23769c208311de27; 1900.029758; 1927.681758; 1930.708758; 1931.000758; cycle_4; dim_2; run_MD
5525ec3623769c208311ddf8; 1875.600758; 1884.260758; 1887.203758; 1887.670758; cycle_4; dim_2; run_MD
5525ec4223769c208311de10; 1887.903758; 1916.490758; 1919.628758; 1919.808758; cycle_4; dim_2; run_MD
5525ec4123769c208311de0d; 1886.228758; 1913.021758; 1915.929758; 1916.349758; cycle_4; dim_2; run_MD
5525ec4323769c208311de11; 1888.341758; 1917.230758; 1920.195758; 1920.386758; cycle_4; dim_2; run_MD
5525ec4b23769c208311de1f; 1895.985758; 1923.928758; 1926.830758; 1927.757758; cycle_4; dim_2; run_MD
5525ec4623769c208311de15; 1890.942758; 1918.589758; 1921.685758; 1922.309758; cycle_4; dim_2; run_MD
5525ec3523769c208311ddf6; 1874.780758; 1880.999758; 1883.907758; 1884.671758; cycle_4; dim_2; run_MD
5525ec4923769c208311de1c; 1894.277758; 1922.359758; 1925.304758; 1925.771758; cycle_4; dim_2; run_MD
