RAW_SIMULATION_TIME: 218.715188
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 0.59033
cycle_0; dim_2; Post_proc; 0.001165
cycle_0; dim_2; EX_run; 8.911617
cycle_0; dim_2; MD_prep; 0.520712
cycle_0; dim_2; MD_run; 18.872536
cycle_0; dim_1; EX_prep; 0.485307
cycle_0; dim_1; Post_proc; 0.000788
cycle_0; dim_1; EX_run; 7.483234
cycle_0; dim_1; MD_prep; 0.892956
cycle_0; dim_1; MD_run; 24.132029
cycle_1; dim_2; EX_prep; 0.533282
cycle_1; dim_2; Post_proc; 0.000653
cycle_1; dim_2; EX_run; 9.840357
cycle_1; dim_2; MD_prep; 0.51659
cycle_1; dim_2; MD_run; 19.276151
cycle_1; dim_1; EX_prep; 0.525552
cycle_1; dim_1; Post_proc; 0.026785
cycle_1; dim_1; EX_run; 8.220892
cycle_1; dim_1; MD_prep; 0.549065
cycle_1; dim_1; MD_run; 19.672694
cycle_2; dim_2; EX_prep; 0.577161
cycle_2; dim_2; Post_proc; 0.000753
cycle_2; dim_2; EX_run; 9.417468
cycle_2; dim_2; MD_prep; 0.599005
cycle_2; dim_2; MD_run; 18.28527
cycle_2; dim_1; EX_prep; 0.54475
cycle_2; dim_1; Post_proc; 0.00076
cycle_2; dim_1; EX_run; 8.942389
cycle_2; dim_1; MD_prep; 0.537825
cycle_2; dim_1; MD_run; 19.162573
cycle_3; dim_2; MD_prep; 0.6357
cycle_3; dim_2; MD_run; 18.867958
cycle_3; dim_1; MD_prep; 0.650655
cycle_3; dim_1; MD_run; 19.37389
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
