RAW_SIMULATION_TIME: 217.883693
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 0.545219
cycle_0; dim_2; Post_proc; 0.00069
cycle_0; dim_2; EX_run; 9.137908
cycle_0; dim_2; MD_prep; 0.522512
cycle_0; dim_2; MD_run; 19.937375
cycle_0; dim_1; EX_prep; 0.516738
cycle_0; dim_1; Post_proc; 0.000781
cycle_0; dim_1; EX_run; 7.507376
cycle_0; dim_1; MD_prep; 0.543983
cycle_0; dim_1; MD_run; 23.935657
cycle_1; dim_2; EX_prep; 0.539882
cycle_1; dim_2; Post_proc; 0.000624
cycle_1; dim_2; EX_run; 11.391318
cycle_1; dim_2; MD_prep; 0.548866
cycle_1; dim_2; MD_run; 17.887538
cycle_1; dim_1; EX_prep; 0.512926
cycle_1; dim_1; Post_proc; 0.000923
cycle_1; dim_1; EX_run; 7.187106
cycle_1; dim_1; MD_prep; 0.51529
cycle_1; dim_1; MD_run; 18.827468
cycle_2; dim_2; EX_prep; 0.618019
cycle_2; dim_2; Post_proc; 0.000655
cycle_2; dim_2; EX_run; 11.302737
cycle_2; dim_2; MD_prep; 0.595499
cycle_2; dim_2; MD_run; 19.653039
cycle_2; dim_1; EX_prep; 0.525482
cycle_2; dim_1; Post_proc; 0.000989
cycle_2; dim_1; EX_run; 7.947476
cycle_2; dim_1; MD_prep; 0.581494
cycle_2; dim_1; MD_run; 18.394221
cycle_3; dim_2; MD_prep; 0.617475
cycle_3; dim_2; MD_run; 18.603451
cycle_3; dim_1; MD_prep; 0.627027
cycle_3; dim_1; MD_run; 18.348272
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
