RAW_SIMULATION_TIME: 339.473303
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 1.071401
cycle_0; dim_2; Post_proc; 0.000791
cycle_0; dim_2; EX_run; 13.120926
cycle_0; dim_2; MD_prep; 1.029058
cycle_0; dim_2; MD_run; 13.255373
cycle_0; dim_3; EX_prep; 1.123028
cycle_0; dim_3; Post_proc; 0.001965
cycle_0; dim_3; EX_run; 16.375268
cycle_0; dim_3; MD_prep; 1.126055
cycle_0; dim_3; MD_run; 13.901809
cycle_0; dim_1; EX_prep; 1.146064
cycle_0; dim_1; Post_proc; 0.000795
cycle_0; dim_1; EX_run; 17.714619
cycle_0; dim_1; MD_prep; 1.200061
cycle_0; dim_1; MD_run; 15.22371
cycle_1; dim_2; EX_prep; 1.12064
cycle_1; dim_2; Post_proc; 0.000793
cycle_1; dim_2; EX_run; 13.63463
cycle_1; dim_2; MD_prep; 1.20766
cycle_1; dim_2; MD_run; 14.176072
cycle_1; dim_3; EX_prep; 1.27751
cycle_1; dim_3; Post_proc; 0.000832
cycle_1; dim_3; EX_run; 17.113383
cycle_1; dim_3; MD_prep; 1.219455
cycle_1; dim_3; MD_run; 13.475728
cycle_1; dim_1; EX_prep; 1.199275
cycle_1; dim_1; Post_proc; 0.001242
cycle_1; dim_1; EX_run; 16.864651
cycle_1; dim_1; MD_prep; 1.160957
cycle_1; dim_1; MD_run; 15.185732
cycle_2; dim_2; EX_prep; 1.227893
cycle_2; dim_2; Post_proc; 0.000888
cycle_2; dim_2; EX_run; 12.745886
cycle_2; dim_2; MD_prep; 2.364808
cycle_2; dim_2; MD_run; 13.084507
cycle_2; dim_3; EX_prep; 1.616989
cycle_2; dim_3; Post_proc; 0.000856
cycle_2; dim_3; EX_run; 17.440018
cycle_2; dim_3; MD_prep; 2.207535
cycle_2; dim_3; MD_run; 12.997377
cycle_2; dim_1; EX_prep; 2.188684
cycle_2; dim_1; Post_proc; 0.000892
cycle_2; dim_1; EX_run; 15.688296
cycle_2; dim_1; MD_prep; 1.253262
cycle_2; dim_1; MD_run; 13.058046
cycle_3; dim_2; MD_prep; 2.235132
cycle_3; dim_2; MD_run; 14.576667
cycle_3; dim_3; MD_prep; 1.845025
cycle_3; dim_3; MD_run; 14.205157
cycle_3; dim_1; MD_prep; 2.118434
cycle_3; dim_1; MD_run; 14.564429
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
