RAW_SIMULATION_TIME: 350.406149
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 1.0769
cycle_0; dim_2; Post_proc; 0.001043
cycle_0; dim_2; EX_run; 12.70254
cycle_0; dim_2; MD_prep; 1.072716
cycle_0; dim_2; MD_run; 13.662228
cycle_0; dim_3; EX_prep; 1.907123
cycle_0; dim_3; Post_proc; 0.00256
cycle_0; dim_3; EX_run; 16.56638
cycle_0; dim_3; MD_prep; 1.037296
cycle_0; dim_3; MD_run; 12.514306
cycle_0; dim_1; EX_prep; 1.054812
cycle_0; dim_1; Post_proc; 0.001064
cycle_0; dim_1; EX_run; 16.731447
cycle_0; dim_1; MD_prep; 1.055021
cycle_0; dim_1; MD_run; 21.472483
cycle_1; dim_2; EX_prep; 1.175011
cycle_1; dim_2; Post_proc; 0.000867
cycle_1; dim_2; EX_run; 12.510662
cycle_1; dim_2; MD_prep; 1.201147
cycle_1; dim_2; MD_run; 13.112673
cycle_1; dim_3; EX_prep; 1.234662
cycle_1; dim_3; Post_proc; 0.000762
cycle_1; dim_3; EX_run; 17.171379
cycle_1; dim_3; MD_prep; 1.255391
cycle_1; dim_3; MD_run; 13.572278
cycle_1; dim_1; EX_prep; 1.155087
cycle_1; dim_1; Post_proc; 0.000783
cycle_1; dim_1; EX_run; 25.695274
cycle_1; dim_1; MD_prep; 1.135938
cycle_1; dim_1; MD_run; 13.284865
cycle_2; dim_2; EX_prep; 1.411116
cycle_2; dim_2; Post_proc; 0.000944
cycle_2; dim_2; EX_run; 13.109308
cycle_2; dim_2; MD_prep; 2.144878
cycle_2; dim_2; MD_run; 15.044143
cycle_2; dim_3; EX_prep; 1.902022
cycle_2; dim_3; Post_proc; 0.00096
cycle_2; dim_3; EX_run; 16.700031
cycle_2; dim_3; MD_prep; 1.833289
cycle_2; dim_3; MD_run; 12.655014
cycle_2; dim_1; EX_prep; 2.169399
cycle_2; dim_1; Post_proc; 0.000815
cycle_2; dim_1; EX_run; 18.419816
cycle_2; dim_1; MD_prep; 1.284199
cycle_2; dim_1; MD_run; 13.232397
cycle_3; dim_2; MD_prep; 1.5424
cycle_3; dim_2; MD_run; 13.731626
cycle_3; dim_3; MD_prep; 1.478714
cycle_3; dim_3; MD_run; 13.642454
cycle_3; dim_1; MD_prep; 1.83553
cycle_3; dim_1; MD_run; 14.846383
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
