RAW_SIMULATION_TIME: 355.775791
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 1.069997
cycle_0; dim_2; Post_proc; 0.000873
cycle_0; dim_2; EX_run; 14.206708
cycle_0; dim_2; MD_prep; 1.091114
cycle_0; dim_2; MD_run; 13.241064
cycle_0; dim_3; EX_prep; 1.160372
cycle_0; dim_3; Post_proc; 0.00075
cycle_0; dim_3; EX_run; 15.614011
cycle_0; dim_3; MD_prep; 1.118877
cycle_0; dim_3; MD_run; 20.851225
cycle_0; dim_1; EX_prep; 1.08395
cycle_0; dim_1; Post_proc; 0.001105
cycle_0; dim_1; EX_run; 14.860733
cycle_0; dim_1; MD_prep; 1.718103
cycle_0; dim_1; MD_run; 18.866212
cycle_1; dim_2; EX_prep; 1.201923
cycle_1; dim_2; Post_proc; 0.001834
cycle_1; dim_2; EX_run; 13.899616
cycle_1; dim_2; MD_prep; 1.231586
cycle_1; dim_2; MD_run; 13.854187
cycle_1; dim_3; EX_prep; 1.296301
cycle_1; dim_3; Post_proc; 0.001823
cycle_1; dim_3; EX_run; 16.161075
cycle_1; dim_3; MD_prep; 1.287329
cycle_1; dim_3; MD_run; 14.833741
cycle_1; dim_1; EX_prep; 1.214717
cycle_1; dim_1; Post_proc; 0.00109
cycle_1; dim_1; EX_run; 26.980969
cycle_1; dim_1; MD_prep; 1.177015
cycle_1; dim_1; MD_run; 13.785376
cycle_2; dim_2; EX_prep; 2.245483
cycle_2; dim_2; Post_proc; 0.000984
cycle_2; dim_2; EX_run; 15.619117
cycle_2; dim_2; MD_prep; 1.940714
cycle_2; dim_2; MD_run; 13.812102
cycle_2; dim_3; EX_prep; 1.903694
cycle_2; dim_3; Post_proc; 0.001334
cycle_2; dim_3; EX_run; 16.474474
cycle_2; dim_3; MD_prep; 1.972743
cycle_2; dim_3; MD_run; 13.246023
cycle_2; dim_1; EX_prep; 2.294872
cycle_2; dim_1; Post_proc; 0.001195
cycle_2; dim_1; EX_run; 15.048189
cycle_2; dim_1; MD_prep; 1.358635
cycle_2; dim_1; MD_run; 12.870959
cycle_3; dim_2; MD_prep; 1.864865
cycle_3; dim_2; MD_run; 13.090385
cycle_3; dim_3; MD_prep; 2.157049
cycle_3; dim_3; MD_run; 13.81191
cycle_3; dim_1; MD_prep; 1.792311
cycle_3; dim_1; MD_run; 12.418944
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
