RAW_SIMULATION_TIME: 2309.818864
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 14.072232
cycle_0; dim_2; Post_proc; 0.00891
cycle_0; dim_2; EX_run; 80.231595
cycle_0; dim_2; MD_prep; 12.709576
cycle_0; dim_2; MD_run; 79.832772
cycle_0; dim_3; EX_prep; 22.660023
cycle_0; dim_3; Post_proc; 0.007944
cycle_0; dim_3; EX_run; 104.201809
cycle_0; dim_3; MD_prep; 17.184595
cycle_0; dim_3; MD_run; 77.595885
cycle_0; dim_1; EX_prep; 20.986359
cycle_0; dim_1; Post_proc; 0.008208
cycle_0; dim_1; EX_run; 110.766461
cycle_0; dim_1; MD_prep; 9.86446
cycle_0; dim_1; MD_run; 78.591964
cycle_1; dim_2; EX_prep; 14.968469
cycle_1; dim_2; Post_proc; 0.009646
cycle_1; dim_2; EX_run; 85.14033
cycle_1; dim_2; MD_prep; 17.120066
cycle_1; dim_2; MD_run; 81.143373
cycle_1; dim_3; EX_prep; 24.184577
cycle_1; dim_3; Post_proc; 0.017246
cycle_1; dim_3; EX_run; 102.077992
cycle_1; dim_3; MD_prep; 18.698192
cycle_1; dim_3; MD_run; 88.049807
cycle_1; dim_1; EX_prep; 24.230418
cycle_1; dim_1; Post_proc; 0.008475
cycle_1; dim_1; EX_run; 112.144916
cycle_1; dim_1; MD_prep; 16.330343
cycle_1; dim_1; MD_run; 82.417976
cycle_2; dim_2; EX_prep; 16.926922
cycle_2; dim_2; Post_proc; 0.009452
cycle_2; dim_2; EX_run; 84.817418
cycle_2; dim_2; MD_prep; 16.918679
cycle_2; dim_2; MD_run; 86.795658
cycle_2; dim_3; EX_prep; 22.532819
cycle_2; dim_3; Post_proc; 0.008982
cycle_2; dim_3; EX_run; 112.511336
cycle_2; dim_3; MD_prep; 15.771551
cycle_2; dim_3; MD_run; 91.578474
cycle_2; dim_1; EX_prep; 23.181413
cycle_2; dim_1; Post_proc; 0.008269
cycle_2; dim_1; EX_run; 114.733621
cycle_2; dim_1; MD_prep; 15.92031
cycle_2; dim_1; MD_run; 85.67383
cycle_3; dim_2; MD_prep; 22.595028
cycle_3; dim_2; MD_run; 79.537281
cycle_3; dim_3; MD_prep; 21.456173
cycle_3; dim_3; MD_run; 94.744792
cycle_3; dim_1; MD_prep; 13.557832
cycle_3; dim_1; MD_run; 95.145575
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
