RAW_SIMULATION_TIME: 544.490774
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 2.263905
cycle_4; dim_2; MD_run; 17.839347
cycle_4; dim_3; MD_prep; 2.100904
cycle_4; dim_3; MD_run; 13.820502
cycle_4; dim_1; MD_prep; 2.106154
cycle_4; dim_1; MD_run; 27.827139
cycle_0; dim_2; EX_prep; 0.996065
cycle_0; dim_2; Post_proc; 0.002021
cycle_0; dim_2; EX_run; 12.389839
cycle_0; dim_2; MD_prep; 1.036128
cycle_0; dim_2; MD_run; 32.566894
cycle_0; dim_3; EX_prep; 1.058851
cycle_0; dim_3; Post_proc; 0.001398
cycle_0; dim_3; EX_run; 18.02836
cycle_0; dim_3; MD_prep; 1.06651
cycle_0; dim_3; MD_run; 22.64714
cycle_0; dim_1; EX_prep; 1.061461
cycle_0; dim_1; Post_proc; 0.001571
cycle_0; dim_1; EX_run; 18.87224
cycle_0; dim_1; MD_prep; 1.028622
cycle_0; dim_1; MD_run; 21.387141
cycle_1; dim_2; EX_prep; 1.131373
cycle_1; dim_2; Post_proc; 0.000794
cycle_1; dim_2; EX_run; 12.437422
cycle_1; dim_2; MD_prep; 1.146566
cycle_1; dim_2; MD_run; 27.061477
cycle_1; dim_3; EX_prep; 1.317782
cycle_1; dim_3; Post_proc; 0.00086
cycle_1; dim_3; EX_run; 17.88888
cycle_1; dim_3; MD_prep; 1.086691
cycle_1; dim_3; MD_run; 31.029756
cycle_1; dim_1; EX_prep; 1.184004
cycle_1; dim_1; Post_proc; 0.000744
cycle_1; dim_1; EX_run; 18.417657
cycle_1; dim_1; MD_prep; 1.131065
cycle_1; dim_1; MD_run; 15.057484
cycle_2; dim_2; EX_prep; 1.431803
cycle_2; dim_2; Post_proc; 0.000834
cycle_2; dim_2; EX_run; 12.985231
cycle_2; dim_2; MD_prep; 1.794119
cycle_2; dim_2; MD_run; 15.831603
cycle_2; dim_3; EX_prep; 1.483405
cycle_2; dim_3; Post_proc; 0.000983
cycle_2; dim_3; EX_run; 19.832924
cycle_2; dim_3; MD_prep; 2.03031
cycle_2; dim_3; MD_run; 13.453344
cycle_2; dim_1; EX_prep; 1.464062
cycle_2; dim_1; Post_proc; 0.001114
cycle_2; dim_1; EX_run; 15.201885
cycle_2; dim_1; MD_prep; 1.198856
cycle_2; dim_1; MD_run; 16.998888
cycle_3; dim_2; EX_prep; 1.464912
cycle_3; dim_2; Post_proc; 0.000869
cycle_3; dim_2; EX_run; 13.255412
cycle_3; dim_2; MD_prep; 1.903492
cycle_3; dim_2; MD_run; 20.828125
cycle_3; dim_3; EX_prep; 2.037814
cycle_3; dim_3; Post_proc; 0.000853
cycle_3; dim_3; EX_run; 20.970301
cycle_3; dim_3; MD_prep; 1.982853
cycle_3; dim_3; MD_run; 14.159022
cycle_3; dim_1; EX_prep; 2.204816
cycle_3; dim_1; Post_proc; 0.000906
cycle_3; dim_1; EX_run; 18.951056
cycle_3; dim_1; MD_prep; 2.030134
cycle_3; dim_1; MD_run; 13.983123
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
